long_prompt,short_prompt,
"A serene tropical sunset, a thatched house nestled in palm-filled greenery. Golden light casts over the beach, with rocky sands and a serene ocean, painting a tranquil, dreamy landscape.",코코넛 나무와 초가집이 있는 평화로운 해변 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A detailed illustration in the style of Art Nouveau: a woman, elegant in a white and gold dress, poses with confidence. Her hair is tucked into a bun, and she accessorizes with a gold key and belt. The deep blue background contrasts her outfit, highlighting her as the focal point.",아르 누보 스타일의 여성 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A striking digital art portrait: A woman's mysterious face, partially veiled by a large green leaf, is the focal point. Bold orange lips, sunny yellow background, and futuristic shades add a vibrant, tropical twist. The piece is a graphic, visually striking composition with a playful, enigmatic essence.",큰 녹색 나뭇잎 뒤에서 여성의 얼굴을 그릴 미드저니 프롬프트 작성해줘,
"A serene tropical paradise invites viewers with its serene waters as a central focal point. The reflecting pool is surrounded by lush greenery and towering palm trees, under a vibrant sky and the illuminating full moon. Nature's beauty is captured in this peaceful, captivating scene.",조용한 열대의 파라다이스 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a majestic golden castle, bathed in starlight, stands tall amidst a lush green forest. The ethereal glow of the castle, warm and inviting, guides viewers through an intricate natural maze.",별빛 속에서 황금 성이 푸른 숲 속에 우뚝 서 있는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A vibrant sunset reflects a futuristic city's orderly grid of slender, sky-reaching buildings. A solitary figure stands at the forefront of this symmetrical vision, gazing upon a peaceful, space-efficient metropolis.",미래적인 도시와 그 도시 속에서 서 있는 인물을 그릴 미드저니 프롬프트 작성해줘,
"A detailed black and white illustration of a woman adorned with a intricate crown of technological circuitry, blending organic and mechanical elements in a harmonious balance. The illustration is a static, focused portrait with a black background, highlighting the intricate details of her futuristic accessory.",기술 회로로 장식된 왕관을 쓴 여성의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting: A purple and gold woman with flowing hair adorned in butterflies, holding a lantern, its light illuminating her face, amidst a deep black background. Her thoughtful gaze, a decorative flutter of butterflies, and intricate details in vibrant colors.",나비들이 장식된 보라색과 금색 드레스를 입고 등불을 든 여성을 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting of a Mediterranean sunset, with a winding path through a village of white and orange buildings, leading to a vibrant, golden horizon, and a serene sky painted in soft pastels.",지중해의 석양을 배경으로 한 마을 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a majestic tiger pilot, adorned in a vibrant, detailed uniform, against a stunning sunset sky. The determined gaze, human-like expressions, and pilot attire captivate the essence of both nature and human endeavor.",세련된 파일럿 복장을 입고 석양을 배경으로 서 있는 호랑이를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a fantastical planet system floating in the deep black of space. The central planet, shrouded in blue and green hues and surrounded by a mysterious purple-green ring, is the focal point. Two smaller planets, one blue and one green, orbit at a distance, adding depth and a sense of scale. The illustration evokes a feeling of wonder and curiosity about the mysteries of the universe.",신비로운 행성 시스템을 우주 속에서 떠 있는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A striking fusion of art and photography, this prompt captures a woman's silhouette, her face and body adorned with a dazzling array of orange paint, textured and shaded to evoke a sense of depth. The vivid orange contrast with blonde hair, set against a stark white background, creates a breathtaking moment, a splash of creative expression.",오렌지색 페인트로 장식된 여성의 실루엣을 그릴 미드저니 프롬프트 작성해줘,
"A detailed Japanese-inspired illustration of a woman, adorned in a kimono with an intricate floral pattern, standing in a simple room with a wooden floor. Her gaze downward, holding a bucket with a flickering flame, casting a warm light. The illustration captures a sense of calm and tradition, with a touch of mystery, and a purple flower adorns her hair.",일본식 기모노를 입고 불을 든 여성을 그릴 미드저니 프롬프트 작성해줘,
"An ethereal, vibrant explosion of colors against a starry void; a cosmic birth with a circular cascade of reds, oranges, yellows, blues, and purples, radiating outwards in a dynamic, energetic burst.",별이 빛나는 우주에서 폭발하는 색상의 장면을 그릴 미드저니 프롬프트 작성해줘,
"A breathtaking digital illustration showcases a woman's face, adorned in ethereal headdress and makeup. The central subject, a portrait of ethereal beauty, features a mesmerizing fusion of nature-inspired motifs with a surreal twist. Her face, a canvas of captivating masks in purple and gold, captures the essence of an enigmatic persona. Amidst a mysterious dark backdrop, the intricate details of her adornments take center stage, enchanting the viewer with a sublime symphony of colors.",신비로운 머리 장식과 화장으로 장식된 여성의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital portrait of a melancholy young woman with sad blue eyes and cascading dark hair, set against a soft light blue background. The stylized painting captures an emotional narrative with realistic intricacies, leaving the specifics to the viewer's imagination.",슬픈 표정의 청춘 여성을 부드러운 파란색 배경 속에 그릴 미드저니 프롬프트 작성해줘,
"An ethereal digital illustration of a majestic phoenix. The bird, with vibrant orange and yellow feathers, takes center stage against a muted gray background; its graceful, spread wings, a contrast of blue and white, convey a sense of dynamic movement and power.",화려한 불사조가 펼쳐진 날개를 가진 모습을 그릴 미드저니 프롬프트 작성해줘,
"A mouthwatering monochrome scene: a black bowl of Tom Yum Soup, with a single shrimp, lime slice, and cilantro, set on a wooden table littered with aromatic ingredients. The dim background adds mystery and allure to the carefully crafted dish, inviting the viewer to decipher the text's meaning.",검은 접시에 톰얌 수프가 담긴 장면을 그릴 미드저니 프롬프트 작성해줘,
"A detailed 3D render of a Campbell's Tomato Soup can, vibrant and upright against a sleek black background. The cylindrical can, with its iconic red and yellow label, is positioned slightly off-center. The bold white ""Campbell's"" and large red ""TOMATO"" create a bold visual impact.",캠벨의 토마토 수프 캔을 검은 배경에 그릴 미드저니 프롬프트 작성해줘,
"A neon-lit cityscape at night, a vibrant, rainy street lined with towering buildings and a single bright yellow vending machine. The bustling street hides figures in shadow, conveying a sense of solitude and quiet amidst the city's chaos.",네온 불빛이 비추는 비 오는 도시 거리를 그릴 미드저니 프롬프트 작성해줘,
"A cozy, intimate dining scene: a candle-lit table, its warm glow illuminating the white tablecloth and soft focus background, creating a serene, cozy ambiance, while the blurred restaurant activity hints at a bustling atmosphere.",촛불이 비추는 아늑한 다이닝 테이블을 그릴 미드저니 프롬프트 작성해줘,
"A serene, rain-soaked dirt road lined with lush tomato plants, a solitary tree, and a mysterious, fog-clad sky. The natural, peaceful scene invites contemplation, with vibrant tomatoes contrasting a predominantly monochrome palette.",비에 젖은 토마토 식물과 나무가 있는 자연 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A majestic castle atop a moonlit mountain, an impressionist's dream. The sky, a canvas of blue and purple, with stars and a glowing moon. A village, a boat on the river below. The scene, a magical reality, awaits.",달빛 아래 있는 성과 마을 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A detailed 3D render: Moon garden in full bloom, hosting three vibrant birds. The colorful avians perch on the lunar surface, a lush oasis of flora against a deep blue night sky.",달빛 속에서 만개한 정원을 그릴 미드저니 프롬프트 작성해줘,
"An ethereal, dramatic digital illustration: A majestic unicorn stands tall in an ornate archway, its snowy mane flowing. The scene's cool tones are contrasted by the warm glow of its fiery horn and the soft light of two candles, casting long shadows. The unicorn, the focal point, is bathed in an ethereal glow, with depth and drama.",화려한 아치문 앞에 서 있는 유니콘의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A futuristic figure seated atop a desolate rooftop, their gaze fixed on a distant cityscape. Their attire, a brown metallic suit adorned with wires and pipes, hints at a post-apocalyptic world. The overcast sky casts a somber mood over the lonely figure, lost in contemplation amidst the urban wreckage.",고독한 옥상에서 먼 도시를 바라보는 미래적인 인물을 그릴 미드저니 프롬프트 작성해줘,
"A detailed, up-close photograph of a cat immersed underwater, its wet fur gleaming. The cat, locked in the camera's focus, showcases its expressive face, capturing the light above through wide-open eyes. Rising bubbles and dark waters add depth and mystery to this captivating, underwater adventure.",물속에 잠긴 고양이를 그릴 미드저니 프롬프트 작성해줘,
"A detailed 3D render of a charismatic teddy bear, dressed in a black and brown adventurer's attire, armed with swords, standing against a dreamy pink backdrop.",모험가 복장을 입은 테디 베어의 3D 렌더링을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration featuring a central colorful skull with intricate patterns, surrounded by a dark blue background, leaves, and flowers in a balanced composition. The vibrant colors pop out, inviting a closer look.",중앙에 색색의 해골이 있는 일러스트를 그릴 미드저니 프롬프트 작성해줘,
"A detailed charcoal drawing of a pensive elderly man, his bright white hair and beard contrasting the dark and moody background, strikes a contemplative pose, drawing the viewer's focus inward.",어두운 배경 속에서 깊은 생각에 잠긴 노인의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed 3D render, an intricate underwater cityscape: A majestic, sunlit aquarium of intricate geometry. The foreground boasts a towering structure with triangular panels, nested in a rocky crevice, adorned with marine life. The depth captivates with harmonious proportions, inviting the viewer to explore the beauty below the ocean's surface.",태양빛을 받은 해양 생물들이 있는 수중 도시를 그릴 미드저니 프롬프트 작성해줘,
"A striking close-up portrait: a woman's face adorned with blue and yellow paints, a powerful gaze under a blonde frame, set against a dark background, creating a bold, central focus.",파란색과 노란색 페인트로 장식된 여성을 그릴 미드저니 프롬프트 작성해줘,
"A stunning digital illustration, a large white flower with a spiral of petals, a smaller blue flower at its side. Surrounded by an assortment of wispy plants and subtle purple flowers, the bouquet is a careful arrangement of vibrant elements against a soft white backdrop.",흰색 꽃과 파란색 꽃이 있는 부케를 그릴 미드저니 프롬프트 작성해줘,
"A vibrant, engaging digital artwork: A bold, red-clad woman with cascading dark hair grips the viewer's gaze, while a splash of color partially obscures her mysterious face. The energetic, abstract background, a fusion of pinks and purples, adds depth and movement, highlighting her as the focal point.",붉은 옷을 입고 어두운 배경에서 강렬한 표정을 짓고 있는 여성을 그릴 미드저니 프롬프트 작성해줘,
"A whimsical and detailed illustration of a young witch with green hair, a purple hat, and a wand, surrounded by colorful objects and two cats with vibrant eyes. The white background contrasts the bright colors of the characters, creating a fantasy scene full of depth and balance.",녹색 머리와 보라색 모자를 쓴 젊은 마녀를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a majestic green dragon, seamlessly camouflaged in a lush forest. The dragon's muscular body shines with a metallic hue, its head adorned with leaves, and its fierce expression illuminated by glowing eyes. The mysterious background, a blur of deep forest, places the dragon in the forefront of this enchanting scene, capturing the awe and wonder of the viewer.",푸른 숲 속에서 은폐된 녹색 드래곤을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a shrouded warrior standing tall, their two swords poised for action. The intricate patterns on their billowing robe, contrast sharply against the white, columned backdrop. The mysterious figure's hood shadows their face, adding an air of intrigue and focus to the intense scene.",두 검을 들고 서 있는 전사의 일러스트를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a shrouded figure, predominantly focused on the mysterious woman's intense gaze. Her striking green eyes connect with the viewer, while her freckled face peeks out from the shadows, adding intrigue. The illustration is a careful study in light and shadow, with a blurred, neutral background emphasizing her ethereal beauty.",강렬한 초록색 눈을 가진 신비로운 여성의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A captivating science fiction portrait: A determined man's face, half-obscured by a futuristic silver-blue helmet with orange accents, his bearded jaw exposed to reveal a dusting of snowflakes. His intense gaze meets the viewer's, set against a mysterious dark void speckled with stars or snowflakes, hinting at a deeper story.",은색과 파란색 헬멧을 쓴 남성의 미래적인 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A stunning digital illustration, center stage is a mermaid whose body is a masterpiece of blue and white scales, her hair a cascading blue waterfall. The focus captures her serene, mysterious expression with piercing blue eyes, while the white background highlights her intricate patterns and bubbles, suggesting an aquatic realm.",푸른색과 흰색 비늘을 가진 인어를 그릴 미드저니 프롬프트 작성해줘,
"A serene masterpiece: A woman, crowned & clad in flowing green, stands on a luminescent rock in a dark mystical lake. The ethereal figure, surrounded by a tranquil forest, serves as the focal point with an intricate natural frame. Her gaze, directed right, conveys a sense of calm & contemplation.",녹색 드레스를 입고 빛나는 바위 위에 서 있는 여성을 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting: a solitary figure, shrouded in mystery, stands in a stark white room, their dark robe a contrast to the brightness. The warm orange light of a large window bathes the scene, adding an inviting ambiance. An enigmatic mood, full of depth and emotion, is captured in this moment.",검은색 로브를 입고 흰 방 안에 서 있는 신비로운 인물을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a majestic Stormtrooper. The white armor, adorned with intricate patterns, stands out against a dark background. Centrally positioned, the trooper's helmet and armor are illuminated, highlighting every detail, while a ready blaster adds a sense of motion.",흰색 갑옷을 입은 스톰트루퍼의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A bold and detailed portrait, centralizing a red-haired woman with a fierce gaze, rough hat, and a grasped gun. The dramatic use of lighting and contrast emphasizes her determined stance, leaving the piece's story open to interpretation.",붉은 머리와 결단력 있는 표정을 가진 여성을 그릴 미드저니 프롬프트 작성해줘,
"A desolate, snow-bound landscape: a forgotten, rusted car in the foreground; its faded orange body, shattered windows, and dilapidated interior tell of neglect. To its right, a tall, barren tree stands starkly, contrasting the car's silhouette. Beyond, mountain ranges fade into the cloudy horizon, while a somber, cloud-filled sky completes the melancholy scene.",버려진 녹슨 차와 고요한 눈 덮인 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A detailed close-up of a bejeweled eye, central and static, adorned in blue and white. Long black lashes frame the iris's light blue texture, speckled like a starry sky, while a dark blue pupil sits in contrast. Capture this striking still life with intricate detail.",보석이 장식된 눈의 초상화를 클로즈업으로 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a serene mountain landscape. The focal point is a vibrant, starry sky with a prominent moon, its light reflecting on a winding river and towering snow-capped mountains. The foreground is a dense forest, and the illustration effectively conveys a sense of depth, peace, and atmosphere.",별이 빛나는 하늘과 눈 덮인 산이 있는 평화로운 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A majestic and enigmatic digital portrait: A woman with a stunning blue feather crown, her intense blue eyes gripping the viewer's gaze. Her bold red lips contrast against her pale skin. The intricate crown and crisp white background highlight her regal composure.",푸른 깃털 왕관을 쓴 여성의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a enigmatic, hooded figure standing tall in a foreboding landscape. The figure, clad in intricate armor, strikes a dramatic pose, staff in hand, while the mysterious figure's hooded presence adds intrigue. The dark, desolate realm, bathed in blues and blacks, sets a sobering mood, enhancing the figure's imposing aura of power and authority.",복잡한 갑옷을 입은 후드 인물이 서 있는 어두운 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A dramatic digital artwork featuring a fiery spider, its fiery legs poised on rocky outcroppings, blue eyes glowing with an otherworldly light amidst a smoky, mysterious background. The central figure demands attention with an air of anticipation, a captivating visual story.",불타는 다리가 있는 거미를 그릴 미드저니 프롬프트 작성해줘,
"An ethereal, surreal digital portrait: A forlorn girl with long pink hair, a black flower adorning her ear, stands out against a vibrant, melting backdrop of green and black. Her expressive green eyes convey a sense of melancholy.",긴 분홍색 머리를 가진 슬픈 소녀의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a duo of robots in a foreboding forest: one tall and imposing, clad in glowed orange armor, standing alongside a smaller, curious robot with a whimsical companion. The artwork depicts a tale of companionship amidst the mysterious darkness, leaving the viewer with an aura of adventure and intrigue.",두 로봇이 숲 속에서 서 있는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration featuring a robotic leader, a mysterious cloaked figure with a staff, balanced alongside a cute, innocent companion and a hooded warrior. The triangular composition showcases their unity amidst a dark, cavernous setting, hinting at an epic adventure ahead.",로봇 리더와 후드 전사가 동료와 함께 서 있는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting of a captivating doll, focused, absorbed in the world within her book. Blue and gold, her attire is intricate, with wise, expressive eyes and delicate hands. A blurred background hints at a serene space, adding depth to her central presence, a captivating, harmonious scene.",책 속에 몰입한 인형을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of an orange robot towering over a small, brave figure in a hooded robe, both bathed in warm orange and brown tones. The illustration depicts a daring confrontation in an ancient stone building, with a sword-wielding hero ready to face the imposing machine.",오렌지 로봇과 후드 로브를 입은 용감한 인물이 대치하는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A cosmic canvas explodes with wonder: a central volcano, its eruption a fiery dance, while a sky filled with stars and a swirling galaxy above captures the awe of nature's power and the infinite universe.",별이 가득한 하늘 아래에서 폭발하는 화산을 그릴 미드저니 프롬프트 작성해줘,
"An intricate digital illustration of Scout, the resilient protagonist, standing defiantly before a mysterious, luminescent robot in a foreboding forest. The path ahead is shrouded in darkness, hinting at an epic adventure awaiting her.",불빛을 발하는 로봇 앞에 서 있는 용감한 주인공의 일러스트를 그릴 미드저니 프롬프트 작성해줘,
"A majestic mountain range, blanketed in snow, sets the scene for an epic journey. A tiny figure, dressed in black, strides forward with determination, equipped for a arduous trek. The crisp, wintry landscape, awash in whites and cool grays, contrasts the minuscule human, highlighting their determination and the serene beauty of nature.",눈 덮인 산과 작은 인물이 서 있는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration featuring a side-profile of an African woman, her face peacefully expressionless, adorned in a headscarf that mirrors the vibrant, warm landscape behind her. The background, a fusion of orange, yellow, and red hues, contrasts beautifully with the cool blue of her scarf, and a serene river. The illustration invites a reflective interpretation, suggesting a deep connection between woman and nature.",아프리카 여성이 아름다운 배경 속에서 서 있는 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting of an ethereal young woman with white and pink curls, wearing a vibrant blue jacket with gold buttons, poised in front of a calming blue-green background, her green eyes capturing the essence of this striking, simple yet powerful composition.",하얀색과 분홍색 컬이 있는 젊은 여성이 푸른색 배경 앞에 서 있는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A captivating portrait in oil paints: A confident woman with piercing green eyes, her hair in an elegant updo, clad in a mysterious brown coat. The dark, moody background adds intrigue, focusing attention on her poised visage.",초록색 눈을 가진 여성이 어두운 배경 속에서 고요한 표정의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting of a majestic eye, enclosed in an ornate white and gold frame, captures the essence of elegance. The vivid green iris, with its sharp black pupil, is the focal point, while subtle gradients enhance the depth and mystery.",하얀색과 금색 프레임 안에 있는 멋진 눈을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a cityscape at night, viewed through a large window from an indoor perspective. The vibrant blue and green city glows brightly against the dark sky, tower blocks soaring into the heavens. A figure in a red hoodie, lost in contemplation, occupies the foreground, adding a splash of color. The room's interior adds a domestic element with a desk and TV, adding to the quiet, pensive atmosphere.",어두운 배경 속에서 도시의 밤 풍경을 바라보는 빨간 후드 여성을 그릴 미드저니 프롬프트 작성해줘,
"A majestic, detailed oil painting featuring a golden and silver knight, illuminated against a dark backdrop. His blue cape adds a splash of color, flowing from his shoulders, while his mysterious visor adds intrigue. Ready for battle, his confidence and strength are emphasized by his stance, capturing bravery and determination.",금색과 은색 갑옷을 입은 기사 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a futuristic cityscape, featuring a determined masked figure in the foreground clad in red and black. The vibrant scene blends neon hues, tall buildings, and a wet, glistening street. The figure's purposefulness stands out against the ethereal glow, with a ""日文"" sign hinting at an Asian-influenced cyberpunk setting.",미래적인 도시 풍경에서 빨간색과 검은색을 입은 마스크 쓴 인물을 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting: Girl in a dimly lit room, transfixed by a towering green dinosaur with brown spots, their intense gaze locked. The scene captures a moment of stillness, with the girl standing fearless before the dinosaur's open maw.",어두운 방에서 초록색 공룡과 마주한 소녀의 초상화를 그릴 미드저니 프롬프트 작성해줘,
